      feature_value  precision   recall    fbeta
      United-States   0.796809 0.661324 0.722772
             Mexico   1.000000 0.333333 0.500000
        Puerto-Rico   0.833333 0.833333 0.833333
        El-Salvador   1.000000 1.000000 1.000000
                  ?   0.785714 0.709677 0.745763
           Columbia   1.000000 1.000000 1.000000
             Poland   0.666667 1.000000 0.800000
           Cambodia   1.000000 1.000000 1.000000
            Germany   0.833333 0.769231 0.800000
        Philippines   1.000000 0.812500 0.896552
             Canada   1.000000 0.750000 0.857143
            Ecuador   1.000000 0.500000 0.666667
              Italy   0.800000 1.000000 0.888889
               Cuba   1.000000 0.800000 0.888889
               Iran   0.600000 0.600000 0.600000
            Jamaica   0.000000 1.000000 0.000000
              Haiti   1.000000 1.000000 1.000000
              South   0.333333 0.500000 0.400000
             Taiwan   0.800000 1.000000 0.888889
 Dominican-Republic   1.000000 1.000000 1.000000
            Ireland   1.000000 1.000000 1.000000
              Japan   0.750000 0.750000 0.750000
           Scotland   1.000000 1.000000 1.000000
              India   0.875000 0.875000 0.875000
    Trinadad&Tobago   1.000000 1.000000 1.000000
            Hungary   1.000000 0.500000 0.666667
            England   0.500000 0.750000 0.600000
               Laos   1.000000 0.000000 0.000000
               Hong   0.500000 1.000000 0.666667
             Greece   1.000000 0.500000 0.666667
           Portugal   1.000000 1.000000 1.000000
          Guatemala   1.000000 1.000000 1.000000
              China   0.800000 1.000000 0.888889
             France   1.000000 1.000000 1.000000
          Nicaragua   1.000000 1.000000 1.000000
            Vietnam   1.000000 1.000000 1.000000
           Thailand   0.000000 1.000000 0.000000
               Peru   1.000000 0.000000 0.000000
           Honduras   1.000000 1.000000 1.000000
         Yugoslavia   1.000000 1.000000 1.000000
